%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1607961689204334423,58,1607961689203351974,,101300.0,0.0
1607961690204584714,59,1607961690204015016,,101300.0,0.0
1607961691204847329,60,1607961691204082012,,101300.0,0.0
1607961692204898974,61,1607961692204519987,,101300.0,0.0
1607961693204481688,62,1607961693203855991,,101300.0,0.0
1607961694204564206,63,1607961694203907966,,101300.0,0.0
1607961695204613320,64,1607961695203875064,,101300.0,0.0
1607961696205612183,65,1607961696204924106,,101300.0,0.0
1607961697204384128,66,1607961697204046010,,101300.0,0.0
1607961698204773217,67,1607961698204432010,,101300.0,0.0
1607961699205244179,68,1607961699204601049,,101300.0,0.0
1607961700204701920,69,1607961700203967094,,101300.0,0.0
1607961701205169206,70,1607961701204586982,,101300.0,0.0
1607961702204446435,71,1607961702204015970,,101300.0,0.0
1607961703204787515,72,1607961703204001903,,101300.0,0.0
1607961704204955008,73,1607961704204274892,,101300.0,0.0
1607961705204422196,74,1607961705203990936,,101300.0,0.0
1607961706203530728,75,1607961706203077077,,101300.0,0.0
1607961707205433042,76,1607961707204549074,,101300.0,0.0
1607961708205171469,77,1607961708204988956,,101300.0,0.0
1607961709204624173,78,1607961709204065084,,101300.0,0.0
1607961710204950893,79,1607961710204447031,,101300.0,0.0
1607961711205080467,80,1607961711204585075,,101300.0,0.0
1607961712205320696,81,1607961712204722881,,101300.0,0.0
1607961713205330308,82,1607961713204607009,,101300.0,0.0
1607961714204207408,83,1607961714203830003,,101300.0,0.0
1607961715205045043,84,1607961715204714059,,101300.0,0.0
1607961716204503136,85,1607961716204150915,,101300.0,0.0
1607961717205024883,86,1607961717204566955,,101300.0,0.0
1607961718203942872,87,1607961718203284025,,101300.0,0.0
1607961719204369080,88,1607961719204034090,,101300.0,0.0
1607961720204271229,89,1607961720203866958,,101300.0,0.0
1607961721204742062,90,1607961721204353094,,101300.0,0.0
1607961722204158435,91,1607961722203948020,,101300.0,0.0
1607961723204660253,92,1607961723204245090,,101300.0,0.0
1607961724203477435,93,1607961724203103065,,101300.0,0.0
1607961725204221791,94,1607961725203952074,,101300.0,0.0
1607961726204434500,95,1607961726204122066,,101300.0,0.0
1607961727205275909,96,1607961727204651117,,101300.0,0.0
1607961728203298074,97,1607961728202872991,,101300.0,0.0
1607961729204701227,98,1607961729204189062,,101300.0,0.0
1607961730204057125,99,1607961730203636884,,101300.0,0.0
1607961731204906399,100,1607961731204499006,,101300.0,0.0
1607961732204377612,101,1607961732204109907,,101300.0,0.0
1607961733204985258,102,1607961733204505920,,101300.0,0.0
1607961734203999147,103,1607961734203805923,,101300.0,0.0
1607961735204458341,104,1607961735204031944,,101300.0,0.0
1607961736203763575,105,1607961736203572988,,101300.0,0.0
1607961737203677541,106,1607961737203490018,,101300.0,0.0
1607961738204233909,107,1607961738203985929,,101300.0,0.0
1607961739204725353,108,1607961739204401969,,101300.0,0.0
1607961740204906233,109,1607961740204749107,,101300.0,0.0
1607961741204297131,110,1607961741204168081,,101300.0,0.0
1607961742204700290,111,1607961742204313993,,101300.0,0.0
1607961743203913746,112,1607961743203547954,,101300.0,0.0
1607961744203287252,113,1607961744203042984,,101300.0,0.0
1607961745204826567,114,1607961745204401016,,101300.0,0.0
1607961746203953601,115,1607961746203577041,,101300.0,0.0
1607961747204132837,116,1607961747203931093,,101300.0,0.0
1607961748204428948,117,1607961748204257965,,101300.0,0.0
1607961749204818234,118,1607961749204618930,,101300.0,0.0
1607961750204223326,119,1607961750203777074,,101300.0,0.0
1607961751204978526,120,1607961751204277038,,101300.0,0.0
1607961752204249163,121,1607961752203800916,,101300.0,0.0
1607961753204525587,122,1607961753203949928,,101300.0,0.0
1607961754204398524,123,1607961754204173088,,101300.0,0.0
1607961755203807500,124,1607961755203454017,,101300.0,0.0
1607961756204825157,125,1607961756203929901,,101300.0,0.0
1607961757205122356,126,1607961757204377889,,101300.0,0.0
1607961758205048071,127,1607961758204500913,,101300.0,0.0
1607961759205148962,128,1607961759204644918,,101300.0,0.0
1607961760204587815,129,1607961760203975915,,101300.0,0.0
1607961761204767664,130,1607961761204339027,,101300.0,0.0
1607961762204911259,131,1607961762204441070,,101300.0,0.0
1607961763204646078,132,1607961763204027891,,101300.0,0.0
1607961764204904784,133,1607961764204329013,,101300.0,0.0
1607961765205281545,134,1607961765204632997,,101300.0,0.0
1607961766203467210,135,1607961766203052997,,101300.0,0.0
1607961767204744323,136,1607961767204269886,,101300.0,0.0
1607961768204801813,137,1607961768203941106,,101300.0,0.0
1607961769205275287,138,1607961769204834938,,101300.0,0.0
1607961770204441567,139,1607961770204093933,,101300.0,0.0
1607961771204077357,140,1607961771203336000,,101300.0,0.0
1607961772205800963,141,1607961772204900979,,101300.0,0.0
1607961773204829424,142,1607961773204308032,,101300.0,0.0
1607961774205080162,143,1607961774204495906,,101300.0,0.0
1607961775203953220,144,1607961775203649997,,101300.0,0.0
1607961776205435583,145,1607961776204482078,,101300.0,0.0
1607961777205074834,146,1607961777204533100,,101300.0,0.0
1607961778204639706,147,1607961778203999996,,101300.0,0.0
1607961779204202335,148,1607961779203895092,,101300.0,0.0
1607961780205300384,149,1607961780204447031,,101300.0,0.0
1607961781204356689,150,1607961781203697919,,101300.0,0.0
1607961782203709673,151,1607961782203176975,,101300.0,0.0
1607961783205183079,152,1607961783204610109,,101300.0,0.0
1607961784203544942,153,1607961784203099966,,101300.0,0.0
1607961785204237059,154,1607961785203871965,,101300.0,0.0
1607961786205017805,155,1607961786204444885,,101300.0,0.0
1607961787204613251,156,1607961787204266071,,101300.0,0.0
1607961788204238975,157,1607961788203855037,,101300.0,0.0
1607961789204702270,158,1607961789204392910,,101300.0,0.0
1607961790204987585,159,1607961790204281091,,101300.0,0.0
1607961791204491033,160,1607961791203921079,,101300.0,0.0
1607961792203384580,161,1607961792203202962,,101300.0,0.0
1607961793204126468,162,1607961793203813076,,101300.0,0.0
1607961794204990492,163,1607961794204791069,,101300.0,0.0
1607961795204395884,164,1607961795204057931,,101300.0,0.0
1607961796204852713,165,1607961796204390048,,101300.0,0.0
1607961797204455019,166,1607961797203885078,,101300.0,0.0
1607961798204556992,167,1607961798203970909,,101300.0,0.0
1607961799204829395,168,1607961799204643964,,101300.0,0.0
1607961800205408270,169,1607961800204811096,,101300.0,0.0
1607961801204185023,170,1607961801204011917,,101300.0,0.0
1607961802205427214,171,1607961802204504966,,101300.0,0.0
1607961803205361362,172,1607961803204981088,,101300.0,0.0
1607961804205775508,173,1607961804204632997,,101300.0,0.0
1607961805204149834,174,1607961805203267097,,101300.0,0.0
1607961806205255737,175,1607961806204829931,,101300.0,0.0
1607961807204416194,176,1607961807203891992,,101300.0,0.0
1607961808204728428,177,1607961808204545021,,101300.0,0.0
1607961809205561902,178,1607961809204854965,,101300.0,0.0
1607961810204240872,179,1607961810203892946,,101300.0,0.0
1607961811204607165,180,1607961811204189062,,101300.0,0.0
1607961812205008953,181,1607961812204767942,,101300.0,0.0
1607961813204338734,182,1607961813203991889,,101300.0,0.0
1607961814203316252,183,1607961814203170061,,101300.0,0.0
1607961815205110723,184,1607961815204662084,,101300.0,0.0
1607961816205014848,185,1607961816204826116,,101300.0,0.0
1607961817204990747,186,1607961817204243898,,101300.0,0.0
1607961818204793572,187,1607961818204433917,,101300.0,0.0
1607961819204420611,188,1607961819203985929,,101300.0,0.0
1607961820204066444,189,1607961820203269958,,101300.0,0.0
1607961821204730785,190,1607961821204488039,,101300.0,0.0
1607961822205020005,191,1607961822204641103,,101300.0,0.0
1607961823204529182,192,1607961823204065084,,101300.0,0.0
1607961824205505519,193,1607961824204504013,,101300.0,0.0
1607961825204168423,194,1607961825203696966,,101300.0,0.0
1607961826203371204,195,1607961826203021049,,101300.0,0.0
1607961827204317615,196,1607961827203706979,,101300.0,0.0
1607961828204875640,197,1607961828204524993,,101300.0,0.0
1607961829204323934,198,1607961829203854084,,101300.0,0.0
1607961830204238988,199,1607961830203938961,,101300.0,0.0
1607961831204068389,200,1607961831203682899,,101300.0,0.0
1607961832204057347,201,1607961832203901052,,101300.0,0.0
1607961833205101442,202,1607961833204624891,,101300.0,0.0
1607961834204696914,203,1607961834204021930,,101300.0,0.0
1607961835205506073,204,1607961835204982042,,101300.0,0.0
1607961836205926776,205,1607961836204839944,,101300.0,0.0
1607961837204189336,206,1607961837203716039,,101300.0,0.0
1607961838205060090,207,1607961838204340934,,101300.0,0.0
1607961839203948714,208,1607961839203438997,,101300.0,0.0
1607961840205079094,209,1607961840204463958,,101300.0,0.0
1607961841204098541,210,1607961841203490972,,101300.0,0.0
1607961842204567636,211,1607961842204099893,,101300.0,0.0
1607961843204554375,212,1607961843203998088,,101300.0,0.0
1607961844203981382,213,1607961844203618049,,101300.0,0.0
1607961845204387475,214,1607961845203942060,,101300.0,0.0
1607961846204957069,215,1607961846204263925,,101300.0,0.0
1607961847205181086,216,1607961847204670906,,101300.0,0.0
1607961848204411537,217,1607961848203893899,,101300.0,0.0
1607961849204669646,218,1607961849204215049,,101300.0,0.0
1607961850205479844,219,1607961850204988002,,101300.0,0.0
1607961851206667067,220,1607961851205312967,,101300.0,0.0
1607961852204646185,221,1607961852203949928,,101300.0,0.0
1607961853205100685,222,1607961853204725027,,101300.0,0.0
1607961854204796283,223,1607961854204507112,,101300.0,0.0
1607961855204980455,224,1607961855204428911,,101300.0,0.0
1607961856203855181,225,1607961856203690052,,101300.0,0.0
1607961857204891829,226,1607961857203910112,,101300.0,0.0
1607961858204211845,227,1607961858203325986,,101300.0,0.0
1607961859203838194,228,1607961859203586101,,101300.0,0.0
1607961860204104389,229,1607961860203607082,,101300.0,0.0
1607961861204314294,230,1607961861204035043,,101300.0,0.0
1607961862204614028,231,1607961862204391002,,101300.0,0.0
1607961863204443585,232,1607961863204140901,,101300.0,0.0
1607961864204467406,233,1607961864204071998,,101300.0,0.0
1607961865204510846,234,1607961865204329967,,101300.0,0.0
1607961866204613567,235,1607961866204107999,,101300.0,0.0
1607961867204465693,236,1607961867204030036,,101300.0,0.0
1607961868204533251,237,1607961868204261064,,101300.0,0.0
1607961869205062161,238,1607961869204680919,,101300.0,0.0
1607961870203746788,239,1607961870203435897,,101300.0,0.0
1607961871204849420,240,1607961871204494953,,101300.0,0.0
1607961872203834299,241,1607961872203555107,,101300.0,0.0
1607961873204148795,242,1607961873203963041,,101300.0,0.0
1607961874203636116,243,1607961874203239917,,101300.0,0.0
1607961875204954444,244,1607961875204653978,,101300.0,0.0
1607961876204160564,245,1607961876203846931,,101300.0,0.0
1607961877204893068,246,1607961877204411029,,101300.0,0.0
1607961878205007049,247,1607961878204627037,,101300.0,0.0
1607961879205393920,248,1607961879204953908,,101300.0,0.0
1607961880204684064,249,1607961880204267024,,101300.0,0.0
1607961881204946091,250,1607961881204454898,,101300.0,0.0
1607961882205017663,251,1607961882204715967,,101300.0,0.0
1607961883204602736,252,1607961883204071044,,101300.0,0.0
1607961884204941345,253,1607961884204442977,,101300.0,0.0
1607961885203976408,254,1607961885203736066,,101300.0,0.0
1607961886204528694,255,1607961886204080104,,101300.0,0.0
1607961887204791617,256,1607961887204302072,,101300.0,0.0
1607961888205119634,257,1607961888204663991,,101300.0,0.0
1607961889204733676,258,1607961889203891038,,101300.0,0.0
1607961890204700770,259,1607961890204303979,,101300.0,0.0
1607961891205118331,260,1607961891204813957,,101300.0,0.0
1607961892204483572,261,1607961892204021930,,101300.0,0.0
1607961893205211923,262,1607961893204616069,,101300.0,0.0
1607961894205304562,263,1607961894204619884,,101300.0,0.0
1607961895204397102,264,1607961895203958988,,101300.0,0.0
1607961896204227054,265,1607961896203797101,,101300.0,0.0
1607961897205427499,266,1607961897203923940,,101300.0,0.0
1607961898203992815,267,1607961898203769922,,101300.0,0.0
1607961899205254412,268,1607961899204853057,,101300.0,0.0
1607961900205633691,269,1607961900205019950,,101300.0,0.0
1607961901203131349,270,1607961901202900886,,101300.0,0.0
1607961902204375559,271,1607961902204204082,,101300.0,0.0
1607961903205365550,272,1607961903204505920,,101300.0,0.0
1607961904204205759,273,1607961904203866958,,101300.0,0.0
1607961905204827280,274,1607961905204114913,,101300.0,0.0
1607961906204401275,275,1607961906203855991,,101300.0,0.0
1607961907205099857,276,1607961907204765081,,101300.0,0.0
1607961908204325778,277,1607961908203862905,,101300.0,0.0
1607961909204905653,278,1607961909204453945,,101300.0,0.0
1607961910205370663,279,1607961910205104112,,101300.0,0.0
1607961911204094786,280,1607961911203783988,,101300.0,0.0
1607961912204899032,281,1607961912204241991,,101300.0,0.0
1607961913204367457,282,1607961913203730106,,101300.0,0.0
1607961914204633178,283,1607961914204082012,,101300.0,0.0
1607961915204564649,284,1607961915204365968,,101300.0,0.0
1607961916203920054,285,1607961916203613996,,101300.0,0.0
1607961917204871575,286,1607961917204097986,,101300.0,0.0
1607961918204663712,287,1607961918204216003,,101300.0,0.0
1607961919205230154,288,1607961919204652070,,101300.0,0.0
1607961920204422508,289,1607961920203808069,,101300.0,0.0
1607961921204432852,290,1607961921203955888,,101300.0,0.0
1607961922204013776,291,1607961922203551054,,101300.0,0.0
1607961923204228065,292,1607961923203872919,,101300.0,0.0
1607961924203364070,293,1607961924202941894,,101300.0,0.0
1607961925205193217,294,1607961925204663038,,101300.0,0.0
1607961926204337303,295,1607961926203802108,,101300.0,0.0
1607961927204906031,296,1607961927204128980,,101300.0,0.0
1607961928204798628,297,1607961928204466104,,101300.0,0.0
1607961929205493576,298,1607961929204910993,,101300.0,0.0
1607961930204486817,299,1607961930204047918,,101300.0,0.0
1607961931204962251,300,1607961931204395055,,101300.0,0.0
1607961932205088147,301,1607961932204670906,,101300.0,0.0
1607961933204496735,302,1607961933204148054,,101300.0,0.0
1607961934204449628,303,1607961934203911066,,101300.0,0.0
1607961935205053146,304,1607961935204701900,,101300.0,0.0
1607961936204591686,305,1607961936204011917,,101300.0,0.0
1607961937205042968,306,1607961937204610109,,101300.0,0.0
1607961938204898820,307,1607961938204715013,,101300.0,0.0
1607961939204248799,308,1607961939204015970,,101300.0,0.0
1607961940204708381,309,1607961940204171895,,101300.0,0.0
1607961941204105624,310,1607961941203629016,,101300.0,0.0
1607961942204762924,311,1607961942204411983,,101300.0,0.0
1607961943204570837,312,1607961943204147100,,101300.0,0.0
1607961944205772313,313,1607961944204849004,,101300.0,0.0
1607961945204741075,314,1607961945204052925,,101300.0,0.0
1607961946204387650,315,1607961946204128980,,101300.0,0.0
1607961947204915926,316,1607961947204402923,,101300.0,0.0
1607961948204804888,317,1607961948204093933,,101300.0,0.0
1607961949204766083,318,1607961949204446077,,101300.0,0.0
1607961950204834489,319,1607961950204544067,,101300.0,0.0
1607961951204825868,320,1607961951204449892,,101300.0,0.0
1607961952204388961,321,1607961952204169034,,101300.0,0.0
1607961953204854997,322,1607961953204413890,,101300.0,0.0
1607961954203981332,323,1607961954203685045,,101300.0,0.0
1607961955204487535,324,1607961955204238891,,101300.0,0.0
1607961956204852608,325,1607961956204471111,,101300.0,0.0
1607961957204080930,326,1607961957203816890,,101300.0,0.0
1607961958204416775,327,1607961958203960895,,101300.0,0.0
1607961959204699392,328,1607961959204130887,,101300.0,0.0
1607961960204717443,329,1607961960204174041,,101300.0,0.0
1607961961204703655,330,1607961961204065084,,101300.0,0.0
1607961962203518829,331,1607961962203145027,,101300.0,0.0
1607961963203924386,332,1607961963203793048,,101300.0,0.0
1607961964204192535,333,1607961964204030036,,101300.0,0.0
1607961965204986321,334,1607961965204092979,,101300.0,0.0
1607961966204730878,335,1607961966204221010,,101300.0,0.0
1607961967204487971,336,1607961967203999042,,101300.0,0.0
1607961968205005138,337,1607961968204319953,,101300.0,0.0
1607961969204868602,338,1607961969204499959,,101300.0,0.0
1607961970203986643,339,1607961970203713893,,101300.0,0.0
1607961971204231625,340,1607961971203938961,,101300.0,0.0
1607961972204681362,341,1607961972204454898,,101300.0,0.0
1607961973204021542,342,1607961973203845977,,101300.0,0.0
1607961974204495708,343,1607961974204056024,,101300.0,0.0
1607961975204389661,344,1607961975204006910,,101300.0,0.0
1607961976204290387,345,1607961976203921079,,101300.0,0.0
1607961977204172911,346,1607961977204102993,,101300.0,0.0
1607961978204759014,347,1607961978204562902,,101300.0,0.0
1607961979204087744,348,1607961979203708887,,101300.0,0.0
1607961980204297928,349,1607961980203984022,,101300.0,0.0
1607961981204810191,350,1607961981204358100,,101300.0,0.0
1607961982204223374,351,1607961982203845024,,101300.0,0.0
1607961983204638973,352,1607961983204125881,,101300.0,0.0
1607961984203733086,353,1607961984203080892,,101300.0,0.0
1607961985204183108,354,1607961985203697919,,101300.0,0.0
1607961986203212410,355,1607961986202986001,,101300.0,0.0
1607961987204334582,356,1607961987203907966,,101300.0,0.0
1607961988205249176,357,1607961988204703092,,101300.0,0.0
1607961989204882647,358,1607961989204436063,,101300.0,0.0
1607961990204554990,359,1607961990204083919,,101300.0,0.0
1607961991205261175,360,1607961991204531908,,101300.0,0.0
1607961992204359668,361,1607961992203893899,,101300.0,0.0
1607961993203802029,362,1607961993203444004,,101300.0,0.0
1607961994205947314,363,1607961994204776048,,101300.0,0.0
1607961995204548788,364,1607961995204000949,,101300.0,0.0
1607961996204971002,365,1607961996204402923,,101300.0,0.0
1607961997204952557,366,1607961997204621076,,101300.0,0.0
1607961998204136394,367,1607961998203820943,,101300.0,0.0
1607961999204425987,368,1607961999203983068,,101300.0,0.0
1607962000204868620,369,1607962000204473018,,101300.0,0.0
1607962001205150544,370,1607962001204793930,,101300.0,0.0
1607962002204338279,371,1607962002203984022,,101300.0,0.0
1607962003204639259,372,1607962003204518079,,101300.0,0.0
1607962004205123539,373,1607962004204721927,,101300.0,0.0
1607962005204233984,374,1607962005203908920,,101300.0,0.0
1607962006205065623,375,1607962006204564094,,101300.0,0.0
1607962007205438321,376,1607962007204982042,,101300.0,0.0
1607962008204142661,377,1607962008203871965,,101300.0,0.0
1607962009204957805,378,1607962009204396963,,101300.0,0.0
1607962010204249234,379,1607962010203636884,,101300.0,0.0
1607962011204693695,380,1607962011204032897,,101300.0,0.0
1607962012204313564,381,1607962012204005002,,101300.0,0.0
1607962013204991478,382,1607962013204690933,,101300.0,0.0
1607962014204264462,383,1607962014204078912,,101300.0,0.0
1607962015204777764,384,1607962015204207897,,101300.0,0.0
1607962016204898609,385,1607962016204449892,,101300.0,0.0
1607962017203936580,386,1607962017202948093,,101300.0,0.0
1607962018204743253,387,1607962018204232931,,101300.0,0.0
1607962019205591268,388,1607962019204711914,,101300.0,0.0
1607962020205204840,389,1607962020204773902,,101300.0,0.0
1607962021204701644,390,1607962021204046010,,101300.0,0.0
1607962022204854653,391,1607962022204421997,,101300.0,0.0
1607962023205442912,392,1607962023205080986,,101300.0,0.0
1607962024204278575,393,1607962024204065084,,101300.0,0.0
1607962025204678108,394,1607962025204545021,,101300.0,0.0
1607962026202991590,395,1607962026202843904,,101300.0,0.0
1607962027205091978,396,1607962027204291105,,101300.0,0.0
1607962028204706227,397,1607962028204411983,,101300.0,0.0
1607962029205016109,398,1607962029204740047,,101300.0,0.0
1607962030204503633,399,1607962030204068899,,101300.0,0.0
1607962031204750660,400,1607962031204185009,,101300.0,0.0
1607962032205716595,401,1607962032204864025,,101300.0,0.0
1607962033204394349,402,1607962033204022884,,101300.0,0.0
1607962034205045906,403,1607962034204590082,,101300.0,0.0
1607962035205072432,404,1607962035204596042,,101300.0,0.0
1607962036204275678,405,1607962036203969001,,101300.0,0.0
1607962037204432410,406,1607962037203984975,,101300.0,0.0
1607962038204983410,407,1607962038204557895,,101300.0,0.0
1607962039204522045,408,1607962039203864097,,101300.0,0.0
1607962040204665297,409,1607962040204191923,,101300.0,0.0
1607962041205670603,410,1607962041204794883,,101300.0,0.0
1607962042204799877,411,1607962042204174041,,101300.0,0.0
1607962043203703737,412,1607962043203202009,,101300.0,0.0
1607962044205279131,413,1607962044204771041,,101300.0,0.0
1607962045204304338,414,1607962045203804016,,101300.0,0.0
1607962046203902224,415,1607962046203476905,,101300.0,0.0
1607962047205526906,416,1607962047204673051,,101300.0,0.0
1607962048205488266,417,1607962048204760074,,101300.0,0.0
1607962049205295309,418,1607962049204317092,,101300.0,0.0
1607962050205110221,419,1607962050204466104,,101300.0,0.0
1607962051205026729,420,1607962051204211950,,101300.0,0.0
1607962052204576277,421,1607962052203974962,,101300.0,0.0
1607962053204927062,422,1607962053204485893,,101300.0,0.0
1607962054205136300,423,1607962054204715967,,101300.0,0.0
1607962055204261674,424,1607962055203905105,,101300.0,0.0
1607962056204439871,425,1607962056204092025,,101300.0,0.0
1607962057205380920,426,1607962057204648017,,101300.0,0.0
1607962058204362417,427,1607962058203905105,,101300.0,0.0
1607962059204983434,428,1607962059203671932,,101300.0,0.0
1607962060205016504,429,1607962060204689979,,101300.0,0.0
1607962061204353489,430,1607962061203934907,,101300.0,0.0
1607962062204365999,431,1607962062203912019,,101300.0,0.0
1607962063205394474,432,1607962063204842090,,101300.0,0.0
1607962064204283509,433,1607962064203850984,,101300.0,0.0
1607962065203640090,434,1607962065203304052,,101300.0,0.0
1607962066204843540,435,1607962066204456090,,101300.0,0.0
1607962067204183406,436,1607962067203778028,,101300.0,0.0
1607962068204631663,437,1607962068204067945,,101300.0,0.0
1607962069205408795,438,1607962069204504966,,101300.0,0.0
1607962070205573768,439,1607962070204761028,,101300.0,0.0
1607962071205041352,440,1607962071204468965,,101300.0,0.0
1607962072205094112,441,1607962072204670906,,101300.0,0.0
1607962073204663126,442,1607962073203934907,,101300.0,0.0
1607962074204562714,443,1607962074204102039,,101300.0,0.0
1607962075204847527,444,1607962075204422950,,101300.0,0.0
1607962076204561765,445,1607962076203829050,,101300.0,0.0
1607962077204459278,446,1607962077203985929,,101300.0,0.0
1607962078203781269,447,1607962078203277111,,101300.0,0.0
1607962079204891582,448,1607962079204356908,,101300.0,0.0
1607962080203342068,449,1607962080202994108,,101300.0,0.0
1607962081204748616,450,1607962081204360961,,101300.0,0.0
1607962082205614942,451,1607962082205073118,,101300.0,0.0
1607962083204516350,452,1607962083204092979,,101300.0,0.0
1607962084204131636,453,1607962084203502893,,101300.0,0.0
1607962085204831308,454,1607962085204521894,,101300.0,0.0
1607962086205086527,455,1607962086204175949,,101300.0,0.0
1607962087204075625,456,1607962087203402996,,101300.0,0.0
1607962088205324292,457,1607962088204714059,,101300.0,0.0
1607962089206742167,458,1607962089205835103,,101300.0,0.0
1607962090203846966,459,1607962090203372001,,101300.0,0.0
1607962091205467151,460,1607962091204716920,,101300.0,0.0
1607962092204563756,461,1607962092203902959,,101300.0,0.0
1607962093204695540,462,1607962093204168081,,101300.0,0.0
1607962094204317954,463,1607962094203807115,,101300.0,0.0
1607962095205154601,464,1607962095204752922,,101300.0,0.0
1607962096205058289,465,1607962096204611063,,101300.0,0.0
1607962097204817875,466,1607962097204448938,,101300.0,0.0
1607962098205552624,467,1607962098204761981,,101300.0,0.0
1607962099203767380,468,1607962099203222990,,101300.0,0.0
1607962100204914193,469,1607962100204401016,,101300.0,0.0
1607962101205037854,470,1607962101204652070,,101300.0,0.0
1607962102204447417,471,1607962102204035043,,101300.0,0.0
1607962103203758478,472,1607962103203187942,,101300.0,0.0
1607962104205033259,473,1607962104204685926,,101300.0,0.0
1607962105205916567,474,1607962105203231096,,101300.0,0.0
1607962106203959231,475,1607962106203418970,,101300.0,0.0
1607962107204316635,476,1607962107203738927,,101300.0,0.0
1607962108205135378,477,1607962108204098939,,101300.0,0.0
1607962109204695851,478,1607962109204092979,,101300.0,0.0
1607962110204126523,479,1607962110203624010,,101300.0,0.0
1607962111204521494,480,1607962111204047918,,101300.0,0.0
1607962112204893701,481,1607962112204361915,,101300.0,0.0
1607962113205324488,482,1607962113204560041,,101300.0,0.0
1607962114205250091,483,1607962114204895019,,101300.0,0.0
1607962115204557719,484,1607962115204015970,,101300.0,0.0
1607962116204969832,485,1607962116204591989,,101300.0,0.0
1607962117204592527,486,1607962117203952074,,101300.0,0.0
1607962118204936656,487,1607962118204118013,,101300.0,0.0
1607962119203757622,488,1607962119203444004,,101300.0,0.0
1607962120205273421,489,1607962120204365015,,101300.0,0.0
1607962121204323212,490,1607962121203970909,,101300.0,0.0
1607962122205222188,491,1607962122204221963,,101300.0,0.0
1607962123205695214,492,1607962123205106019,,101300.0,0.0
1607962124204482688,493,1607962124204040050,,101300.0,0.0
1607962125204536289,494,1607962125204338073,,101300.0,0.0
1607962126204292487,495,1607962126203922986,,101300.0,0.0
1607962127204501804,496,1607962127203949928,,101300.0,0.0
1607962128203952562,497,1607962128202857017,,101300.0,0.0
